Id,Title,StaringActorId,ActorAgeGapId,AgeGapDefinition,Genres,NumberOfVotes,Rating,Success
41,In the Name of the Father,12821,4,30s,"Biography,Drama",136875,8.1,1
42,Jurassic Park,13017,3,40s,"Adventure,Sci-Fi,Thriller",755498,8.1,1
43,Last Action Hero,12679,3,40s,"Action,Adventure,Comedy",121370,6.3,0
44,Mrs. Doubtfire,12708,3,40s,"Comedy,Drama,Family",212684,7.0,0
45,The Nightmare Before Christmas,12847,4,30s,"Animation,Family,Fantasy",261069,8.0,1
46,Philadelphia,12621,4,30s,Drama,201615,7.7,1
47,Robin Hood: Men in Tights,12607,4,30s,"Adventure,Comedy,Musical",103978,6.7,0
48,Schindler's List,13016,3,40s,"Biography,Drama,History",1043890,8.9,1
49,Sleepless in Seattle,12621,4,30s,"Comedy,Drama,Romance",140978,6.8,0
50,Tombstone,13084,3,40s,"Action,Biography,Drama",110730,7.8,1
51,True Romance,12688,5,20s,"Crime,Drama,Romance",184002,7.9,1
52,What's Eating Gilbert Grape,12599,5,20s,Drama,192914,7.8,1
53,Friends,12561,5,20s,"Comedy,Romance",628972,8.9,1
54,Ace Ventura: Pet Detective,12583,4,30s,Comedy,247898,6.9,0
55,Clerks,615617,5,20s,Comedy,198029,7.8,1
56,The Crow,12951,5,20s,"Action,Drama,Fantasy",151987,7.6,1
57,Dumb and Dumber,12583,4,30s,Comedy,321903,7.3,1
58,Ed Wood,12599,4,30s,"Biography,Comedy,Drama",154866,7.9,1
59,Forrest Gump,12621,4,30s,"Drama,Romance",1541203,8.8,1
60,Four Weddings and a Funeral,12887,4,30s,"Comedy,Drama,Romance",122665,7.1,0
61,Poltergeist,12455,4,30s,"Horror,Thriller",125141,7.4,1
62,Rocky III,12693,4,30s,"Drama,Sport",148962,6.8,0
63,Star Trek II: The Wrath of Khan,13101,2,50s,"Action,Adventure,Sci-Fi",102747,7.7,1
64,The Thing,13084,4,30s,"Horror,Mystery,Sci-Fi",319312,8.1,1
65,TRON,12776,4,30s,"Action,Adventure,Sci-Fi",104041,6.8,0
66,A Christmas Story,71766,6,teenager,"Comedy,Family",117584,8.0,1
67,The Meaning of Life,12555,3,40s,"Comedy,Musical",101109,7.6,1
68,Star Wars: Episode VI - Return of the Jedi,12897,4,30s,"Action,Adventure,Fantasy",832773,8.3,1
69,Scarface,12662,3,40s,"Crime,Drama",641507,8.3,1
70,Trading Places,13015,5,20s,Comedy,119474,7.5,1
71,Amadeus,13182,3,40s,"Biography,Drama,History",325579,8.3,1
72,Beverly Hills Cop,13015,5,20s,"Action,Comedy,Crime",144885,7.3,1
73,Dune,12096,5,20s,"Action,Adventure,Sci-Fi",108522,6.6,0
74,Ghost Busters,12658,4,30s,"Action,Comedy,Fantasy",314479,7.8,1
75,Gremlins,13623,6,teenager,"Comedy,Fantasy,Horror",170382,7.2,0
76,The Graduate,12626,5,20s,"Comedy,Drama,Romance",232930,8.0,1
77,The Jungle Book,345467,1,+60s,"Adventure,Animation,Family",145564,7.6,1
78,2001: A Space Odyssey,11762,4,30s,"Adventure,Sci-Fi",522112,8.3,1
79,Night of the Living Dead,404873,4,30s,Horror,102429,7.9,1
80,Planet of the Apes,12495,3,40s,"Adventure,Sci-Fi",153316,8.0,1
81,Rosemary's Baby,11805,5,20s,"Drama,Horror",164601,8.0,1
82,Butch Cassidy and the Sundance Kid,12519,3,40s,"Biography,Crime,Drama",181998,8.1,1
83,C'era una volta il West,12483,1,+60s,Western,261761,8.5,1
84,Psycho,13041,5,20s,"Horror,Mystery,Thriller",516078,8.5,1
85,Spartacus,12481,3,40s,"Adventure,Biography,Drama",110609,7.9,1
86,Breakfast at Tiffany's,12493,4,30s,"Comedy,Drama,Romance",147216,7.7,1
87,One Hundred and One Dalmatians,12396,4,30s,"Adventure,Animation,Comedy",132637,7.2,0
88,Dr. No,12588,4,30s,"Action,Adventure,Thriller",130888,7.3,1
89,Lawrence of Arabia,13027,5,20s,"Adventure,Biography,Drama",233521,8.3,1
90,To Kill a Mockingbird,12523,3,40s,"Crime,Drama",263029,8.3,1
91,The Birds,12396,4,30s,"Drama,Horror,Mystery",150590,7.7,1
92,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,13097,4,30s,Comedy,403021,8.4,1
93,From Russia with Love,12588,4,30s,"Action,Adventure,Thriller",102727,7.5,1
94,The Great Escape,13000,4,30s,"Adventure,Drama,History",198970,8.2,1
95,Goldfinger,12588,4,30s,"Action,Adventure,Thriller",154979,7.7,1
96,Mary Poppins,12730,5,20s,"Comedy,Family,Fantasy",129246,7.8,1
97,Per un pugno di dollari,12605,4,30s,Western,172762,8.0,1
98,Per qualche dollaro in piÃ¹,12605,4,30s,Western,196896,8.3,1
99,The Sound of Music,12730,5,20s,"Biography,Drama,Family",174427,8.0,1
100,"Il buono, il brutto, il cattivo",12605,4,30s,Western,599317,8.9,1
101,Cool Hand Luke,12519,3,40s,"Crime,Drama",143447,8.1,1
102,A Clockwork Orange,12995,5,20s,"Crime,Drama,Sci-Fi",665743,8.3,1
103,Dirty Harry,12605,3,40s,"Action,Crime,Thriller",128859,7.8,1
104,Willy Wonka & the Chocolate Factory,13161,4,30s,"Family,Fantasy,Musical",154307,7.8,1
105,Dial M for Murder,12141,3,40s,"Crime,Thriller",135451,8.2,1
106,On the Waterfront,12471,5,20s,"Crime,Drama,Thriller",124442,8.2,1
107,Rear Window,12534,3,40s,"Mystery,Thriller",384035,8.5,1
108,Shichinin no samurai,12140,4,30s,"Adventure,Drama",273493,8.7,1
109,Lady and the Tramp,511094,3,40s,"Adventure,Animation,Comedy",104164,7.3,1
110,12 Angry Men,12483,2,50s,"Crime,Drama",567370,8.9,1
111,The Bridge on the River Kwai,12497,4,30s,"Adventure,Drama,War",180630,8.2,1
112,Paths of Glory,12481,3,40s,"Drama,War",149696,8.4,1
113,Det sjunde inseglet,13417,5,20s,"Drama,Fantasy",138034,8.2,1
114,Vertigo,12534,3,40s,"Mystery,Romance,Thriller",308189,8.3,1
115,Ben-Hur,12495,4,30s,"Adventure,Drama,History",195750,8.1,1
116,North by Northwest,12489,2,50s,"Adventure,Mystery,Thriller",262620,8.3,1
117,Sleeping Beauty,161739,5,20s,"Animation,Family,Fantasy",118190,7.3,1
118,Some Like It Hot,12517,4,30s,"Comedy,Romance",212170,8.2,1
119,The Apartment,12956,4,30s,"Comedy,Drama,Romance",137266,8.3,1
120,The Godfather,12471,3,40s,"Crime,Drama",1385556,9.2,1
121,Indiana Jones and the Temple of Doom,12611,3,40s,"Action,Adventure",389879,7.6,1
122,The Karate Kid,12098,5,20s,"Action,Drama,Family",153577,7.2,0
123,Kaze no tani no Naushika,764108,5,20s,"Adventure,Animation,Fantasy",123429,8.1,1
124,A Nightmare on Elm Street,12949,6,teenager,Horror,179462,7.5,1
125,Once Upon a Time in America,12597,3,40s,"Crime,Drama",266834,8.4,1
126,Police Academy,12893,5,20s,Comedy,100637,6.7,0
127,The Terminator,12679,4,30s,"Action,Sci-Fi",706664,8.0,1
128,This Is Spinal Tap,12265,4,30s,"Comedy,Music",117670,8.0,1
129,Die unendliche Geschichte,12904,6,teenager,"Adventure,Drama,Family",115600,7.4,1
130,Back to the Future,12613,5,20s,"Adventure,Comedy,Sci-Fi",896271,8.5,1
131,Brazil,13059,4,30s,"Drama,Sci-Fi",171377,8.0,1
132,The Breakfast Club,12852,5,20s,"Comedy,Drama",308301,7.9,1
133,Commando,12679,4,30s,"Action,Adventure,Thriller",129825,6.7,0
134,Star Wars,12897,5,20s,"Action,Adventure,Fantasy",1085073,8.6,1
135,Dawn of the Dead,262398,4,30s,"Horror,Thriller",101299,8.0,1
136,The Deer Hunter,12597,4,30s,"Drama,War",276537,8.1,1
137,Grease,12700,5,20s,"Musical,Romance",201443,7.2,0
138,Halloween,13050,2,50s,"Horror,Thriller",197875,7.8,1
139,Animal House,12467,5,20s,Comedy,102659,7.6,1
140,Superman,12263,5,20s,"Action,Adventure,Drama",143975,7.3,1
141,Alien,12707,5,20s,"Horror,Sci-Fi",689221,8.5,1
142,Apocalypse Now,13103,4,30s,"Drama,War",529788,8.5,1
143,Escape from Alcatraz,12605,3,40s,"Biography,Crime,Drama",101410,7.6,1
144,Kramer vs. Kramer,12626,3,40s,Drama,114619,7.8,1
145,Life of Brian,11641,4,30s,Comedy,323418,8.1,1
146,Mad Max,12617,5,20s,"Action,Adventure,Sci-Fi",172523,7.0,0
147,Manhattan,12558,3,40s,"Comedy,Drama,Romance",119123,8.0,1
148,Rocky II,12693,4,30s,"Drama,Sport",164874,7.2,0
149,Airplane!,11936,4,30s,Comedy,185085,7.8,1
150,The Blues Brothers,12467,4,30s,"Adventure,Comedy,Crime",163220,7.9,1
151,The Elephant Man,12627,3,40s,"Biography,Drama",194475,8.2,1
152,Star Wars: Episode V - The Empire Strikes Back,12897,5,20s,"Action,Adventure,Fantasy",1014952,8.8,1
153,Friday the 13th,625154,2,50s,"Horror,Mystery,Thriller",101885,6.5,0
154,Raging Bull,12597,4,30s,"Biography,Drama,Sport",278750,8.2,1
155,The Shining,12660,3,40s,"Drama,Horror",749363,8.4,1
156,Das Boot,12242,4,30s,"Adventure,Drama,Thriller",201794,8.4,1
157,Conan the Barbarian,12679,4,30s,"Adventure,Fantasy",125530,6.9,0
158,Escape from New York,13084,5,20s,"Action,Sci-Fi",108661,7.2,0
159,Mad Max 2,12617,5,20s,"Action,Adventure,Sci-Fi",151458,7.6,1
160,Raiders of the Lost Ark,12611,4,30s,"Action,Adventure",782620,8.5,1
161,Blade Runner,12611,4,30s,"Sci-Fi,Thriller",606770,8.2,1
162,E.T. the Extra-Terrestrial,12398,6,teenager,"Family,Sci-Fi",327088,7.9,1
163,The Evil Dead,144125,5,20s,Horror,165244,7.5,1
164,First Blood,12693,4,30s,"Action,Adventure",196415,7.7,1
165,Gandhi,12030,4,30s,"Biography,Drama,History",202513,8.1,1
166,The Goonies,12739,6,teenager,"Adventure,Comedy,Family",210296,7.8,1
167,Mad Max Beyond Thunderdome,12617,5,20s,"Action,Adventure,Sci-Fi",115347,6.3,0
168,Rambo: First Blood Part II,12693,4,30s,"Action,Adventure,Thriller",134080,6.4,0
169,Rocky IV,12693,4,30s,"Drama,Sport",160966,6.8,0
170,Aliens,12707,4,30s,"Action,Adventure,Sci-Fi",582466,8.4,1
171,Big Trouble in Little China,13084,4,30s,"Action,Adventure,Comedy",109376,7.3,1
172,Blue Velvet,13081,4,30s,"Drama,Mystery,Thriller",157567,7.8,1
173,Ferris Bueller's Day Off,12574,5,20s,Comedy,281264,7.8,1
174,The Fly,12619,4,30s,"Drama,Horror,Sci-Fi",140421,7.5,1
175,Highlander,12946,5,20s,"Action,Adventure,Fantasy",110538,7.2,0
176,Labyrinth,12772,4,30s,"Adventure,Family,Fantasy",109844,7.4,1
177,Interview with the Vampire: The Vampire Chronicles,12556,4,30s,"Drama,Horror",268460,7.6,1
178,Legends of the Fall,12556,4,30s,"Drama,Romance,War",129077,7.5,1
179,The Lion King,12574,4,30s,"Adventure,Animation,Drama",798547,8.5,1
180,LÃ©on,13069,3,40s,"Crime,Drama,Thriller",887226,8.6,1
181,The Mask,12583,4,30s,"Comedy,Fantasy",305199,6.9,0
182,Natural Born Killers,12900,4,30s,"Crime,Drama",195475,7.3,1
183,Pulp Fiction,12700,4,30s,"Crime,Drama",1578153,8.9,1
184,The Shawshank Redemption,12672,4,30s,Drama,2021785,9.3,1
185,Speed,12669,5,20s,"Action,Adventure,Crime",294477,7.2,0
186,Stargate,13084,3,40s,"Action,Adventure,Sci-Fi",162558,7.1,0
187,True Lies,12679,3,40s,"Action,Comedy,Thriller",214428,7.2,0
188,The Exorcist,11599,3,40s,Horror,322652,8.0,1
189,Papillon,13000,3,40s,"Biography,Crime,Drama",109629,8.0,1
190,The Sting,12519,3,40s,"Comedy,Crime,Drama",211940,8.3,1
191,Blazing Saddles,12080,4,30s,"Comedy,Western",112709,7.8,1
192,Chinatown,12660,4,30s,"Drama,Mystery,Thriller",257675,8.2,1
193,The Godfather: Part II,12662,4,30s,"Crime,Drama",959584,9.0,1
194,Monty Python and the Holy Grail,11641,4,30s,"Adventure,Comedy,Fantasy",446545,8.3,1
195,The Texas Chain Saw Massacre,126612,5,20s,Horror,116966,7.5,1
196,Young Frankenstein,13161,3,40s,Comedy,130383,8.0,1
197,Barry Lyndon,602384,4,30s,"Adventure,Drama,History",127512,8.1,1
198,Dog Day Afternoon,12662,4,30s,"Biography,Crime,Drama",213535,8.0,1
199,Jaws,12306,3,40s,"Adventure,Drama,Thriller",494921,8.0,1
200,One Flew Over the Cuckoo's Nest,12660,4,30s,Drama,803004,8.7,1
201,The Rocky Horror Picture Show,12810,5,20s,"Comedy,Musical",119199,7.4,1
202,Carrie,13114,5,20s,Horror,147416,7.4,1
203,Network,11763,4,30s,Drama,126969,8.1,1
204,Rocky,12693,5,20s,"Drama,Sport",456457,8.1,1
205,Taxi Driver,12597,4,30s,"Crime,Drama",614014,8.3,1
206,Annie Hall,12558,3,40s,"Comedy,Romance",231870,8.0,1
207,Close Encounters of the Third Kind,12840,5,20s,"Drama,Sci-Fi",162847,7.7,1
208,Ace Ventura: When Nature Calls,12583,4,30s,"Adventure,Comedy,Crime",182689,6.3,0
209,Apollo 13,12621,4,30s,"Adventure,Drama,History",238824,7.6,1
210,Babe,12805,2,50s,"Comedy,Drama,Family",106060,6.8,0
211,Bad Boys,12689,5,20s,"Action,Comedy,Crime",200401,6.8,0
212,Batman Forever,12637,4,30s,"Action,Adventure,Fantasy",214882,5.4,0
213,Before Sunrise,12623,5,20s,"Drama,Romance",229686,8.1,1
214,Billy Madison,11795,5,20s,Comedy,118317,6.4,0
215,Braveheart,12617,4,30s,"Biography,Drama,History",868002,8.4,1
216,Casino,12597,2,50s,"Crime,Drama",400778,8.2,1
217,Casper,13060,3,40s,"Comedy,Family,Fantasy",103129,6.1,0
218,Clueless,12687,6,teenager,"Comedy,Romance",150049,6.8,0
219,Desperado,12567,4,30s,"Action,Thriller",155737,7.2,0
220,Die Hard with a Vengeance,12709,4,30s,"Action,Adventure,Thriller",332967,7.6,1
221,GoldenEye,12575,3,40s,"Action,Adventure,Thriller",218451,7.2,0
222,La haine,13526,5,20s,"Crime,Drama",128094,8.1,1
223,Heat,12662,2,50s,"Crime,Drama,Thriller",508600,8.2,1
224,Judge Dredd,12693,3,40s,"Action,Crime,Sci-Fi",100377,5.5,0
225,Jumanji,12708,3,40s,"Adventure,Family,Fantasy",260126,6.9,0
226,KÃ´kaku KidÃ´tai,796600,4,30s,"Action,Animation,Crime",111244,8.0,1
227,Leaving Las Vegas,12578,4,30s,"Drama,Romance",104450,7.5,1
228,Awakenings,12597,3,40s,"Biography,Drama",108575,7.8,1
229,Back to the Future Part III,12613,5,20s,"Adventure,Comedy,Sci-Fi",344011,7.4,1
230,Dances with Wolves,12589,4,30s,"Adventure,Drama,Western",214392,8.0,1
231,Die Hard 2,12709,4,30s,"Action,Thriller",304535,7.1,0
232,Edward Scissorhands,12599,5,20s,"Drama,Fantasy,Romance",405129,7.9,1
233,Ghost,13127,4,30s,"Drama,Fantasy,Romance",174087,7.0,0
234,The Godfather: Part III,12662,3,40s,"Crime,Drama",318448,7.6,1
235,Goodfellas,12597,3,40s,"Crime,Drama",871369,8.7,1
236,Home Alone,12809,7,childhood,"Comedy,Family",384992,7.5,1
237,The Hunt for Red October,12588,2,50s,"Action,Adventure,Thriller",160658,7.6,1
238,Kindergarten Cop,12679,3,40s,"Comedy,Crime",121887,6.1,0
239,Miller's Crossing,12784,4,30s,"Crime,Drama,Thriller",115679,7.8,1
240,Misery,11605,3,40s,"Crime,Drama,Thriller",159078,7.8,1
241,Predator 2,12881,3,40s,"Action,Horror,Sci-Fi",128883,6.3,0
242,Pretty Woman,12615,3,40s,"Comedy,Romance",250428,7.0,0
243,Rocky V,12693,3,40s,"Drama,Sport",110644,5.2,0
244,Total Recall,12679,3,40s,"Action,Sci-Fi,Thriller",271553,7.5,1
245,Tremors,12565,4,30s,"Comedy,Horror",105447,7.2,0
246,The Addams Family,11982,4,30s,"Comedy,Fantasy",111746,6.9,0
247,Barton Fink,12410,4,30s,"Comedy,Drama,Thriller",101647,7.7,1
248,Beauty and the Beast,615750,4,30s,"Animation,Family,Fantasy",377507,8.0,1
249,Boyz n the Hood,12884,5,20s,"Crime,Drama",108665,7.8,1
250,Cape Fear,12597,3,40s,"Crime,Thriller",148651,7.3,1
251,Hook,12626,2,50s,"Adventure,Comedy,Family",208065,6.7,0
252,JFK,12589,4,30s,"Drama,History,Thriller",128105,8.0,1
253,Point Break,13127,4,30s,"Action,Crime,Thriller",133443,7.2,0
254,Robin Hood: Prince of Thieves,12589,4,30s,"Action,Adventure,Drama",162316,6.9,0
255,The Silence of the Lambs,12612,5,20s,"Crime,Drama,Thriller",1085373,8.6,1
256,Terminator 2: Judgment Day,12679,3,40s,"Action,Sci-Fi",876511,8.5,1
257,Thelma & Louise,12678,3,40s,"Adventure,Crime,Drama",118195,7.4,1
258,Aladdin,870622,6,teenager,"Adventure,Animation,Comedy",308494,8.0,1
259,AlienÂ³,12707,3,40s,"Action,Horror,Sci-Fi",247839,6.4,0
260,Basic Instinct,12603,3,40s,"Drama,Mystery,Thriller",152544,6.9,0
261,Batman Returns,12937,3,40s,"Action,Crime,Fantasy",246023,7.0,0
262,The Bodyguard,12589,4,30s,"Drama,Music,Romance",105021,6.2,0
263,Dracula,12661,4,30s,Horror,168394,7.5,1
264,A Few Good Men,12592,5,20s,"Drama,Thriller",208931,7.7,1
265,Home Alone 2: Lost in New York,12809,6,teenager,"Adventure,Comedy,Family",249872,6.7,0
266,The Last of the Mohicans,12821,4,30s,"Action,Adventure,Drama",132381,7.8,1
267,Lethal Weapon 3,12617,4,30s,"Action,Crime,Thriller",142841,6.7,0
268,Reservoir Dogs,12635,2,50s,"Crime,Drama,Thriller",794748,8.3,1
269,Scent of a Woman,12662,2,50s,Drama,224996,8.0,1
270,Unforgiven,12605,1,+60s,"Drama,Western",330157,8.2,1
271,Wayne's World,12659,5,20s,"Comedy,Music",128849,7.0,0
272,The X Files,12604,4,30s,"Drama,Mystery,Sci-Fi",178380,8.7,1
273,Army of Darkness,144125,4,30s,"Comedy,Horror",147779,7.6,1
274,A Bronx Tale,12597,3,40s,"Crime,Drama",113198,7.8,1
275,Carlito's Way,12662,2,50s,"Crime,Drama,Thriller",181665,7.9,1
276,Cliffhanger,12693,3,40s,"Action,Adventure,Thriller",108220,6.4,0
277,Dazed and Confused,509596,5,20s,Comedy,143325,7.7,1
278,Demolition Man,12693,3,40s,"Action,Crime,Sci-Fi",141249,6.6,0
279,Mallrats,11751,5,20s,"Comedy,Romance",107232,7.2,0
280,Pocahontas,12617,4,30s,"Adventure,Animation,Drama",145815,6.7,0
281,Se7en,12614,2,50s,"Crime,Drama,Mystery",1236050,8.6,1
282,Fight Club,12556,4,30s,Drama,1617370,8.8,1
283,Shakespeare in Love,13032,5,20s,"Comedy,Drama,History",197020,7.1,0
284,Pi,339642,5,20s,"Drama,Horror,Mystery",158139,7.4,1
285,Cruel Intentions,11868,5,20s,"Drama,Romance",164832,6.8,0
286,Training Day,12706,3,40s,"Crime,Drama,Thriller",347571,7.7,1
287,The Insider,12591,4,30s,"Biography,Drama,Thriller",146995,7.9,1
288,The Sopranos,11858,4,30s,"Crime,Drama",238045,9.2,1
289,Big Daddy,11795,4,30s,"Comedy,Drama",180823,6.4,0
290,The Ninth Gate,12599,4,30s,"Mystery,Thriller",151146,6.7,0
291,The World Is Not Enough,12575,3,40s,"Action,Adventure,Thriller",172435,6.4,0
292,American Psycho,12751,5,20s,"Crime,Drama",417514,7.6,1
293,The Boondock Saints,12816,3,40s,"Action,Crime,Thriller",213982,7.8,1
294,Spider-Man,12101,5,20s,"Action,Adventure,Sci-Fi",621723,7.3,1
295,Platoon,12684,5,20s,"Drama,War",342332,8.1,1
296,Stand by Me,13159,6,teenager,"Adventure,Drama",324485,8.1,1
297,TenkÃ» no shiro Rapyuta,12197,7,childhood,"Adventure,Animation,Fantasy",122541,8.1,1
298,Top Gun,12592,5,20s,"Action,Drama",254272,6.9,0
299,Dirty Dancing,13127,4,30s,"Drama,Music,Romance",168144,6.9,0
300,Empire of the Sun,12751,6,teenager,"Drama,History,War",103087,7.8,1
301,Evil Dead II,144125,5,20s,"Comedy,Horror",131933,7.8,1
302,Full Metal Jacket,13009,5,20s,"Drama,War",587633,8.3,1
303,"Good Morning, Vietnam",12708,4,30s,"Biography,Comedy,Drama",113506,7.3,1
304,Lethal Weapon,12617,4,30s,"Action,Crime,Thriller",214863,7.6,1
305,The Lost Boys,13037,5,20s,"Comedy,Horror",108296,7.3,1
306,"Planes, Trains & Automobiles",12651,3,40s,Comedy,106561,7.6,1
307,Predator,12679,4,30s,"Action,Adventure,Sci-Fi",336505,7.8,1
308,The Princess Bride,12607,5,20s,"Adventure,Family,Fantasy",347319,8.1,1
309,Raising Arizona,12578,5,20s,"Comedy,Crime",113603,7.4,1
310,RoboCop,13156,4,30s,"Action,Crime,Sci-Fi",209304,7.6,1
311,The Running Man,12679,4,30s,"Action,Sci-Fi,Thriller",127059,6.7,0
312,Spaceballs,12779,1,+60s,"Adventure,Comedy,Sci-Fi",154973,7.1,0
313,The Untouchables,12589,4,30s,"Crime,Drama,Thriller",248451,7.9,1
314,Wall Street,12684,5,20s,"Crime,Drama",131950,7.4,1
315,Akira,390451,5,20s,"Action,Animation,Drama",132614,8.1,1
316,Beetlejuice,12748,5,20s,"Comedy,Fantasy",224004,7.5,1
317,Big,12621,4,30s,"Comedy,Drama,Family",173371,7.3,1
318,Coming to America,13015,5,20s,"Comedy,Romance",140855,7.0,0
319,Die Hard,12709,4,30s,"Action,Thriller",696221,8.2,1
320,A Fish Called Wanda,12555,3,40s,"Comedy,Crime",119791,7.6,1
321,The Naked Gun: From the Files of Police Squad!,13021,1,+60s,"Comedy,Crime",132559,7.6,1
322,Nuovo Cinema Paradiso,618591,2,50s,Drama,192431,8.5,1
323,Rain Man,12626,2,50s,Drama,431320,8.0,1
324,Rambo III,12693,3,40s,"Action,Adventure,Thriller",105648,5.8,0
325,Tonari no Totoro,810087,1,+60s,"Animation,Family,Fantasy",227537,8.2,1
326,Twins,12679,3,40s,"Comedy,Crime",100378,6.0,0
327,Who Framed Roger Rabbit,11968,3,40s,"Adventure,Animation,Comedy",163993,7.7,1
328,The Simpsons,140095,4,30s,"Animation,Comedy",322308,8.7,1
329,The Abyss,12901,4,30s,"Adventure,Drama,Sci-Fi",148138,7.6,1
330,Back to the Future Part II,12613,5,20s,"Adventure,Comedy,Sci-Fi",408637,7.8,1
331,Batman,12937,4,30s,"Action,Adventure",304927,7.5,1
332,Dead Poets Society,12708,4,30s,"Comedy,Drama",351275,8.1,1
333,Ghostbusters II,12658,4,30s,"Action,Comedy,Fantasy",162538,6.5,0
334,Glory,12574,5,20s,"Biography,Drama,History",111328,7.9,1
335,"Honey, I Shrunk the Kids",12152,4,30s,"Adventure,Comedy,Family",125320,6.3,0
336,Indiana Jones and the Last Crusade,12611,3,40s,"Action,Adventure,Fantasy",612154,8.3,1
337,Lethal Weapon 2,12617,4,30s,"Action,Crime,Thriller",145352,7.2,0
338,The Little Mermaid,77557,5,20s,"Animation,Family,Fantasy",204571,7.6,1
339,National Lampoon's Christmas Vacation,12794,3,40s,Comedy,126203,7.6,1
340,When Harry Met Sally...,12808,3,40s,"Comedy,Drama,Romance",172232,7.6,1
341,The Fresh Prince of Bel-Air,386876,4,30s,Comedy,104071,7.9,1
342,Seinfeld,13095,4,30s,Comedy,214205,8.9,1
343,Twin Peaks,12096,4,30s,"Crime,Drama,Mystery",147708,8.8,1
344,Austin Powers: The Spy Who Shagged Me,12659,4,30s,"Action,Adventure,Comedy",199444,6.6,0
345,The Bone Collector,12706,3,40s,"Crime,Drama,Mystery",137635,6.7,0
346,Lara Croft: Tomb Raider,12005,5,20s,"Action,Adventure,Fantasy",181282,5.8,0
347,Any Given Sunday,12662,2,50s,"Drama,Sport",105109,6.9,0
348,High Fidelity,12594,4,30s,"Comedy,Drama,Music",156042,7.5,1
349,10 Things I Hate About You,17169,6,teenager,"Comedy,Drama,Romance",261301,7.3,1
350,Cube,199848,5,20s,"Drama,Mystery,Sci-Fi",185674,7.3,1
351,Notting Hill,12887,4,30s,"Comedy,Drama,Romance",236283,7.1,0
